Age (bin),City,Event,Games,ID,Locat,Medal,Medal_,Name,NOC,Season,Sex,Sport,Team,Year,Age,BMI,Bronze ,Gold,Height,Points,Silver,Weight
22,Barcelona,Basketball Men's Basketball,1992 Summer,1,"Barcelona,China",NA,,A Dijiang,CHN,Summer,M,Basketball,China,1992,24,24.691358025,,,180,0,,80
22,London,Judo Men's Extra-Lightweight,2012 Summer,2,"London,China",NA,,A Lamusi,CHN,Summer,M,Judo,China,2012,23,20.761245675,,,170,0,,60
22,Antwerpen,Football Men's Football,1920 Summer,3,"Antwerpen,Denmark",NA,,Gunnar Nielsen Aaby,DEN,Summer,M,Football,Denmark,1920,24,22.857142857,,,175,0,,70
32,Paris,Tug-Of-War Men's Tug-Of-War,1900 Summer,4,"Paris,Denmark/Sweden",Gold,Gold,Edgar Lindenau Aabye,DEN,Summer,M,Tug-Of-War,Denmark/Sweden,1900,34,22.857142857,,1,175,3,,70
16,Calgary,Speed Skating Women's 500 metres,1988 Winter,5,"Calgary,Netherlands",NA,,Christine Jacoba Aaftink,NED,Winter,F,Speed Skating,Netherlands,1988,21,23.959094229,,,185,0,,82
16,Calgary,"Speed Skating Women's 1,000 metres",1988 Winter,5,"Calgary,Netherlands",NA,,Christine Jacoba Aaftink,NED,Winter,F,Speed Skating,Netherlands,1988,21,23.959094229,,,185,0,,82
22,Albertville,Speed Skating Women's 500 metres,1992 Winter,5,"Albertville,Netherlands",NA,,Christine Jacoba Aaftink,NED,Winter,F,Speed Skating,Netherlands,1992,25,23.959094229,,,185,0,,82
22,Albertville,"Speed Skating Women's 1,000 metres",1992 Winter,5,"Albertville,Netherlands",NA,,Christine Jacoba Aaftink,NED,Winter,F,Speed Skating,Netherlands,1992,25,23.959094229,,,185,0,,82
27,Lillehammer,Speed Skating Women's 500 metres,1994 Winter,5,"Lillehammer,Netherlands",NA,,Christine Jacoba Aaftink,NED,Winter,F,Speed Skating,Netherlands,1994,27,23.959094229,,,185,0,,82
27,Lillehammer,"Speed Skating Women's 1,000 metres",1994 Winter,5,"Lillehammer,Netherlands",NA,,Christine Jacoba Aaftink,NED,Winter,F,Speed Skating,Netherlands,1994,27,23.959094229,,,185,0,,82
27,Albertville,Cross Country Skiing Men's 10 kilometres,1992 Winter,6,"Albertville,United States",NA,,Per Knut Aaland,USA,Winter,M,Cross Country Skiing,United States,1992,31,21.220009054,,,188,0,,75
27,Albertville,Cross Country Skiing Men's 50 kilometres,1992 Winter,6,"Albertville,United States",NA,,Per Knut Aaland,USA,Winter,M,Cross Country Skiing,United States,1992,31,21.220009054,,,188,0,,75
27,Albertville,Cross Country Skiing Men's 10/15 kilometres Pursuit,1992 Winter,6,"Albertville,United States",NA,,Per Knut Aaland,USA,Winter,M,Cross Country Skiing,United States,1992,31,21.220009054,,,188,0,,75
27,Albertville,Cross Country Skiing Men's 4 x 10 kilometres Relay,1992 Winter,6,"Albertville,United States",NA,,Per Knut Aaland,USA,Winter,M,Cross Country Skiing,United States,1992,31,21.220009054,,,188,0,,75
32,Lillehammer,Cross Country Skiing Men's 10 kilometres,1994 Winter,6,"Lillehammer,United States",NA,,Per Knut Aaland,USA,Winter,M,Cross Country Skiing,United States,1994,33,21.220009054,,,188,0,,75
32,Lillehammer,Cross Country Skiing Men's 30 kilometres,1994 Winter,6,"Lillehammer,United States",NA,,Per Knut Aaland,USA,Winter,M,Cross Country Skiing,United States,1994,33,21.220009054,,,188,0,,75
32,Lillehammer,Cross Country Skiing Men's 10/15 kilometres Pursuit,1994 Winter,6,"Lillehammer,United States",NA,,Per Knut Aaland,USA,Winter,M,Cross Country Skiing,United States,1994,33,21.220009054,,,188,0,,75
32,Lillehammer,Cross Country Skiing Men's 4 x 10 kilometres Relay,1994 Winter,6,"Lillehammer,United States",NA,,Per Knut Aaland,USA,Winter,M,Cross Country Skiing,United States,1994,33,21.220009054,,,188,0,,75
27,Albertville,Cross Country Skiing Men's 10 kilometres,1992 Winter,7,"Albertville,United States",NA,,John Aalberg,USA,Winter,M,Cross Country Skiing,United States,1992,31,21.499596883,,,183,0,,72
27,Albertville,Cross Country Skiing Men's 50 kilometres,1992 Winter,7,"Albertville,United States",NA,,John Aalberg,USA,Winter,M,Cross Country Skiing,United States,1992,31,21.499596883,,,183,0,,72
27,Albertville,Cross Country Skiing Men's 10/15 kilometres Pursuit,1992 Winter,7,"Albertville,United States",NA,,John Aalberg,USA,Winter,M,Cross Country Skiing,United States,1992,31,21.499596883,,,183,0,,72
27,Albertville,Cross Country Skiing Men's 4 x 10 kilometres Relay,1992 Winter,7,"Albertville,United States",NA,,John Aalberg,USA,Winter,M,Cross Country Skiing,United States,1992,31,21.499596883,,,183,0,,72
32,Lillehammer,Cross Country Skiing Men's 10 kilometres,1994 Winter,7,"Lillehammer,United States",NA,,John Aalberg,USA,Winter,M,Cross Country Skiing,United States,1994,33,21.499596883,,,183,0,,72
32,Lillehammer,Cross Country Skiing Men's 30 kilometres,1994 Winter,7,"Lillehammer,United States",NA,,John Aalberg,USA,Winter,M,Cross Country Skiing,United States,1994,33,21.499596883,,,183,0,,72
32,Lillehammer,Cross Country Skiing Men's 10/15 kilometres Pursuit,1994 Winter,7,"Lillehammer,United States",NA,,John Aalberg,USA,Winter,M,Cross Country Skiing,United States,1994,33,21.499596883,,,183,0,,72
32,Lillehammer,Cross Country Skiing Men's 4 x 10 kilometres Relay,1994 Winter,7,"Lillehammer,United States",NA,,John Aalberg,USA,Winter,M,Cross Country Skiing,United States,1994,33,21.499596883,,,183,0,,72
16,Los Angeles,Athletics Women's 100 metres,1932 Summer,8,"Los Angeles,Netherlands",NA,,"Cornelia ""Cor"" Aalten (-Strannood)",NED,Summer,F,Athletics,Netherlands,1932,18,24.801587302,,,168,0,,70
16,Los Angeles,Athletics Women's 4 x 100 metres Relay,1932 Summer,8,"Los Angeles,Netherlands",NA,,"Cornelia ""Cor"" Aalten (-Strannood)",NED,Summer,F,Athletics,Netherlands,1932,18,24.801587302,,,168,0,,70
22,Salt Lake City,Ice Hockey Men's Ice Hockey,2002 Winter,9,"Salt Lake City,Finland",NA,,Antti Sami Aalto,FIN,Winter,M,Ice Hockey,Finland,2002,26,27.748872702,,,186,0,,96
22,Helsinki,Swimming Men's 400 metres Freestyle,1952 Summer,10,"Helsinki,Finland",NA,,"Einar Ferdinand ""Einari"" Aalto",FIN,Summer,M,Swimming,Finland,1952,26,22.857142857,,,175,0,,70
22,Lake Placid,Cross Country Skiing Men's 30 kilometres,1980 Winter,11,"Lake Placid,Finland",NA,,Jorma Ilmari Aalto,FIN,Winter,M,Cross Country Skiing,Finland,1980,22,23.095036831,,,182,0,,76.5
27,Sydney,Badminton Men's Singles,2000 Summer,12,"Sydney,Finland",NA,,Jyri Tapani Aalto,FIN,Summer,M,Badminton,Finland,2000,31,23.661438615,,,172,0,,70
27,Atlanta,Sailing Women's Windsurfer,1996 Summer,13,"Atlanta,Finland",NA,,Minna Maarit Aalto,FIN,Summer,F,Sailing,Finland,1996,30,21.953245520,,,159,0,,55.5
32,Sydney,Sailing Women's Windsurfer,2000 Summer,13,"Sydney,Finland",NA,,Minna Maarit Aalto,FIN,Summer,F,Sailing,Finland,2000,34,21.953245520,,,159,0,,55.5
27,Lillehammer,Biathlon Women's 7.5 kilometres Sprint,1994 Winter,14,"Lillehammer,Finland",NA,,Pirjo Hannele Aalto (Mattila-),FIN,Winter,F,Biathlon,Finland,1994,32,22.229061934,,,171,0,,65
22,Stockholm,Swimming Men's 200 metres Breaststroke,1912 Summer,15,"Stockholm,Finland",NA,,Arvo Ossian Aaltonen,FIN,Summer,M,Swimming,Finland,1912,22,22.857142857,,,175,0,,70
22,Stockholm,Swimming Men's 400 metres Breaststroke,1912 Summer,15,"Stockholm,Finland",NA,,Arvo Ossian Aaltonen,FIN,Summer,M,Swimming,Finland,1912,22,22.857142857,,,175,0,,70
27,Antwerpen,Swimming Men's 200 metres Breaststroke,1920 Summer,15,"Antwerpen,Finland",Bronze,Bronze,Arvo Ossian Aaltonen,FIN,Summer,M,Swimming,Finland,1920,30,22.857142857,1,,175,1,,70
27,Antwerpen,Swimming Men's 400 metres Breaststroke,1920 Summer,15,"Antwerpen,Finland",Bronze,Bronze,Arvo Ossian Aaltonen,FIN,Summer,M,Swimming,Finland,1920,30,22.857142857,1,,175,1,,70
32,Paris,Swimming Men's 200 metres Breaststroke,1924 Summer,15,"Paris,Finland",NA,,Arvo Ossian Aaltonen,FIN,Summer,M,Swimming,Finland,1924,34,22.857142857,,,175,0,,70
27,Sochi,Ice Hockey Men's Ice Hockey,2014 Winter,16,"Sochi,Finland",Bronze,Bronze,Juhamatti Tapio Aaltonen,FIN,Winter,M,Ice Hockey,Finland,2014,28,25.106332703,1,,184,1,,85
27,London,Gymnastics Men's Individual All-Around,1948 Summer,17,"London,Finland",Bronze,Bronze,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1948,28,20.897959184,1,,175,1,,64
27,London,Gymnastics Men's Team All-Around,1948 Summer,17,"London,Finland",Gold,Gold,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1948,28,20.897959184,,1,175,3,,64
27,London,Gymnastics Men's Floor Exercise,1948 Summer,17,"London,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1948,28,20.897959184,,,175,0,,64
27,London,Gymnastics Men's Horse Vault,1948 Summer,17,"London,Finland",Gold,Gold,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1948,28,20.897959184,,1,175,3,,64
27,London,Gymnastics Men's Parallel Bars,1948 Summer,17,"London,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1948,28,20.897959184,,,175,0,,64
27,London,Gymnastics Men's Horizontal Bar,1948 Summer,17,"London,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1948,28,20.897959184,,,175,0,,64
27,London,Gymnastics Men's Rings,1948 Summer,17,"London,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1948,28,20.897959184,,,175,0,,64
27,London,Gymnastics Men's Pommelled Horse,1948 Summer,17,"London,Finland",Gold,Gold,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1948,28,20.897959184,,1,175,3,,64
27,Helsinki,Gymnastics Men's Individual All-Around,1952 Summer,17,"Helsinki,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1952,32,20.897959184,,,175,0,,64
27,Helsinki,Gymnastics Men's Team All-Around,1952 Summer,17,"Helsinki,Finland",Bronze,Bronze,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1952,32,20.897959184,1,,175,1,,64
27,Helsinki,Gymnastics Men's Floor Exercise,1952 Summer,17,"Helsinki,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1952,32,20.897959184,,,175,0,,64
27,Helsinki,Gymnastics Men's Horse Vault,1952 Summer,17,"Helsinki,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1952,32,20.897959184,,,175,0,,64
27,Helsinki,Gymnastics Men's Parallel Bars,1952 Summer,17,"Helsinki,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1952,32,20.897959184,,,175,0,,64
27,Helsinki,Gymnastics Men's Horizontal Bar,1952 Summer,17,"Helsinki,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1952,32,20.897959184,,,175,0,,64
27,Helsinki,Gymnastics Men's Rings,1952 Summer,17,"Helsinki,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1952,32,20.897959184,,,175,0,,64
27,Helsinki,Gymnastics Men's Pommelled Horse,1952 Summer,17,"Helsinki,Finland",NA,,Paavo Johannes Aaltonen,FIN,Summer,M,Gymnastics,Finland,1952,32,20.897959184,,,175,0,,64
27,Sydney,Athletics Men's Shot Put,2000 Summer,18,"Sydney,Finland",NA,,Timo Antero Aaltonen,FIN,Summer,M,Athletics,Finland,2000,31,36.393158086,,,189,0,,130
54,London,"Art Competitions Mixed Sculpturing, Unknown Event",1948 Summer,19,"London,Finland",NA,,Win Valdemar Aaltonen,FIN,Summer,M,Art Competitions,Finland,1948,54,22.857142857,,,175,0,,70
16,Albertville,Alpine Skiing Men's Downhill,1992 Winter,20,"Albertville,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1992,20,27.440599174,,,176,0,,85
16,Albertville,Alpine Skiing Men's Super G,1992 Winter,20,"Albertville,Norway",Gold,Gold,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1992,20,27.440599174,,1,176,3,,85
16,Albertville,Alpine Skiing Men's Giant Slalom,1992 Winter,20,"Albertville,Norway",Bronze,Bronze,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1992,20,27.440599174,1,,176,1,,85
16,Albertville,Alpine Skiing Men's Slalom,1992 Winter,20,"Albertville,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1992,20,27.440599174,,,176,0,,85
22,Lillehammer,Alpine Skiing Men's Downhill,1994 Winter,20,"Lillehammer,Norway",Silver,Silver,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1994,22,27.440599174,,,176,2,1,85
22,Lillehammer,Alpine Skiing Men's Super G,1994 Winter,20,"Lillehammer,Norway",Bronze,Bronze,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1994,22,27.440599174,1,,176,1,,85
22,Lillehammer,Alpine Skiing Men's Giant Slalom,1994 Winter,20,"Lillehammer,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1994,22,27.440599174,,,176,0,,85
22,Lillehammer,Alpine Skiing Men's Slalom,1994 Winter,20,"Lillehammer,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1994,22,27.440599174,,,176,0,,85
22,Lillehammer,Alpine Skiing Men's Combined,1994 Winter,20,"Lillehammer,Norway",Silver,Silver,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1994,22,27.440599174,,,176,2,1,85
22,Nagano,Alpine Skiing Men's Downhill,1998 Winter,20,"Nagano,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1998,26,27.440599174,,,176,0,,85
22,Nagano,Alpine Skiing Men's Super G,1998 Winter,20,"Nagano,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1998,26,27.440599174,,,176,0,,85
22,Nagano,Alpine Skiing Men's Giant Slalom,1998 Winter,20,"Nagano,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1998,26,27.440599174,,,176,0,,85
22,Nagano,Alpine Skiing Men's Combined,1998 Winter,20,"Nagano,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,1998,26,27.440599174,,,176,0,,85
27,Salt Lake City,Alpine Skiing Men's Downhill,2002 Winter,20,"Salt Lake City,Norway",NA,,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,2002,30,27.440599174,,,176,0,,85
27,Salt Lake City,Alpine Skiing Men's Super G,2002 Winter,20,"Salt Lake City,Norway",Gold,Gold,Kjetil Andr Aamodt,NOR,Winter,M,Alpine Skiing,Norway,2002,30,27.440599174,,1,176,3,,85
