customer_id,order_date,order_id,total_price
2160,27-11-2023,7324,955.86
8497,31-08-2024,8938,984.91
6295,05-12-2023,4238,649.18
2936,22-02-2024,10944,54.83
2994,14-08-2024,11075,320.24
5953,20-05-2024,13842,555.05
4825,17-11-2023,1126,308.21
7873,09-08-2024,8310,957.72
5627,23-08-2024,6084,934.52
2086,01-11-2024,3161,488.16
975,26-05-2024,57,388.08
7024,06-02-2024,11179,24.32
4276,30-09-2024,1860,42.33
4374,27-09-2024,9492,43.54
1888,29-03-2024,2853,44.45
3177,16-05-2024,51,735.84
5410,25-04-2024,11997,620.96
7971,21-05-2024,6792,812.89
995,26-04-2024,9279,241.51
1259,03-08-2024,5292,123.95
4733,05-11-2023,8357,206.41
7404,10-05-2024,14041,459.13
9938,25-07-2024,4657,423.73
3089,11-01-2024,100,111.23
9808,31-08-2024,1802,677.87
8797,03-12-2023,7789,465.42
4478,04-09-2024,3325,475.69
6169,26-12-2023,2843,432.37
7978,15-09-2024,11500,675.62
6618,12-07-2024,6897,516.94
830,29-08-2024,12382,758.96
4348,20-10-2024,9976,148.35
8681,30-12-2023,5957,693.67
3575,18-06-2024,8450,721.84
9522,14-06-2024,14945,954.23
4759,06-09-2024,6813,913.78
7420,23-10-2024,12604,507.4
7073,07-06-2024,1022,766.87
3811,22-06-2024,5606,314.02
275,26-12-2023,14711,394.39
3495,19-10-2024,9825,630.44
7865,11-03-2024,10666,386.69
5856,01-05-2024,14204,405.54
441,01-08-2024,4433,127.98
7243,09-07-2024,99,826.56
8235,04-10-2024,8827,422.47
544,31-07-2024,1036,854.47
2535,18-08-2024,12274,730.52
1688,05-12-2023,12288,612.09
1911,30-03-2024,4712,850.01
1203,10-09-2024,9791,867.92
4552,05-03-2024,1424,52.13
8606,24-12-2023,12572,762.91
7,06-06-2024,8986,354.92
57,30-09-2024,13222,871.23
389,19-08-2024,3619,54.56
6341,18-10-2024,9813,51.47
8537,06-06-2024,12770,456.7
6805,16-02-2024,13133,912.58
2000,23-05-2024,358,189.93
9513,19-05-2024,2244,654.15
5140,18-10-2024,8097,935.29
7178,26-12-2023,12011,836.12
9952,29-09-2024,1504,695.96
7160,14-06-2024,12747,274.48
9141,12-12-2023,8445,58.58
5048,10-11-2023,2111,463.7
4432,11-09-2024,4385,564.88
1341,19-11-2023,2233,366.11
9001,10-12-2023,3986,791.36
3860,25-01-2024,11881,331.96
2761,01-05-2024,7464,623.7
7667,24-04-2024,4310,554.63
9492,19-07-2024,6345,126.97
4223,19-01-2024,14941,405.58
310,31-10-2024,1442,597.64
1052,26-03-2024,110,439.18
8138,14-03-2024,7440,170.56
8036,15-05-2024,805,902.78
6084,06-08-2024,10816,213.19
2995,20-06-2024,12195,108.56
998,04-10-2024,7022,921.78
5356,06-03-2024,10404,283.22
4258,31-08-2024,12598,67.79
8720,03-11-2024,14612,785.89
1097,27-05-2024,8811,326.87
8400,16-05-2024,8843,751.15
9881,17-05-2024,13540,625.83
9821,05-12-2023,1519,991.71
5470,01-06-2024,11963,20.95
3559,19-11-2023,4795,419.09
5094,26-05-2024,1863,690.08
5853,10-07-2024,1971,855.64
2213,01-12-2023,14965,668.39
6220,14-04-2024,4317,750.78
1300,13-03-2024,5192,390.76
5090,28-09-2024,2456,595.68
8686,25-04-2024,4936,672.59
9893,21-02-2024,9314,210.36
8657,07-08-2024,3024,828.39
4393,28-05-2024,3118,92.9
6152,20-01-2024,4403,307.27
1376,06-01-2024,4496,735.08
4795,20-12-2023,12529,33.26
5944,07-02-2024,13304,487.73
3253,20-08-2024,14837,928.09
3546,14-11-2023,5482,685.78
8823,08-08-2024,12167,228.54
5591,14-11-2023,12848,944.88
8536,15-04-2024,6606,386.82
9995,24-12-2023,9355,166.22
6566,20-11-2023,5135,464.03
1917,30-09-2024,7319,748.08
9851,05-04-2024,14058,974.41
6552,09-07-2024,4599,791.07
623,25-01-2024,5814,458.23
9198,01-04-2024,13995,110.03
9564,22-03-2024,2339,879.59
2286,08-02-2024,327,622.32
1654,03-09-2024,3134,971.61
3086,15-01-2024,7228,723.82
9389,03-04-2024,14350,139.79
3480,28-01-2024,5177,873.1
5426,31-07-2024,7399,35.16
3405,08-09-2024,2311,644.95
1047,04-06-2024,3794,793.91
9587,05-04-2024,2973,439.5
1312,08-07-2024,5848,710.99
1889,09-10-2024,10284,845.49
4846,18-10-2024,10102,714.15
9646,28-12-2023,9614,938.34
8814,28-03-2024,7853,80.33
2748,04-03-2024,11068,871.94
6452,30-11-2023,8727,458.62
7902,29-02-2024,8707,714.42
2530,03-09-2024,10390,583.19
625,14-08-2024,12466,724.06
6827,12-04-2024,1046,871.1
9681,28-12-2023,11460,999.24
4685,09-11-2023,13993,227.35
1226,13-08-2024,401,345.94
1386,06-02-2024,14755,544.75
4800,28-06-2024,14238,700.24
2604,03-06-2024,13783,922.57
4080,15-02-2024,1648,415.32
9197,01-11-2024,3217,248.61
9484,29-07-2024,3796,920.86
9008,16-01-2024,2878,510.55
4345,09-11-2023,4772,96.3
8097,14-09-2024,2636,947.89
9626,17-12-2023,3138,853.41
4134,08-03-2024,5540,596.82
3484,18-02-2024,196,950.76
549,01-02-2024,13368,845.5
2784,16-02-2024,4968,792.98
9385,10-12-2023,12931,253.91
2298,05-09-2024,6530,963.12
3565,31-08-2024,3441,999.09
1476,22-05-2024,2819,770.54
1273,26-03-2024,12087,833.01
9260,02-11-2024,4459,413.03
1428,06-11-2023,7489,566.34
1193,01-03-2024,6230,107.5
6574,11-12-2023,10439,985.22
4591,19-04-2024,7715,921.14
5481,26-12-2023,408,251.99
5270,13-10-2024,641,997.77
376,31-12-2023,550,117.62
5279,26-01-2024,13534,653.17
8727,09-06-2024,14375,344.09
1029,30-12-2023,6020,119.67
2424,08-11-2023,4237,63.74
4474,27-11-2023,12907,906.97
6675,03-04-2024,14560,35.74
3026,23-11-2023,12057,77.34
2362,14-04-2024,9730,955.23
7533,12-04-2024,648,771.42
3161,08-06-2024,5466,491.31
6564,23-11-2023,9030,757.68
8414,06-11-2023,14582,983.83
6132,03-08-2024,2245,944.53
2489,18-06-2024,2858,293.67
7630,17-06-2024,11046,841.68
7862,06-03-2024,8100,669.31
5013,08-07-2024,4957,276.72
947,10-03-2024,2533,790.14
4886,23-03-2024,1727,629.47
2785,19-01-2024,13492,652.59
2235,13-04-2024,7752,944.71
5066,12-08-2024,9990,899.19
6645,10-07-2024,11241,966.61
4530,11-08-2024,12372,492.04
3280,30-01-2024,4522,119.04
8477,12-01-2024,4789,448.96
7898,27-01-2024,491,82.97
5476,22-06-2024,9088,393.27
9364,21-11-2023,9099,304.19
1370,05-06-2024,10917,741.05
4214,07-02-2024,2232,454.32
4583,24-01-2024,10234,553.35
4079,25-01-2024,12045,549.43
8327,07-03-2024,8177,560.13
2296,10-06-2024,1891,193.49
835,10-01-2024,6448,144.68
5570,12-12-2023,9173,934.57
5248,01-02-2024,9243,623.36
7418,14-11-2023,9139,973.56
8810,10-10-2024,3970,92.58
1903,05-10-2024,12118,398.86
6385,02-05-2024,9807,295.21
2236,03-10-2024,4299,32.82
7653,07-02-2024,14091,950.73
8757,25-04-2024,235,67.76
7373,25-08-2024,2053,190.33
3879,19-12-2023,12679,435.27
1073,30-09-2024,8027,95.4
4751,12-11-2023,12059,494.64
8848,29-03-2024,10745,829.15
7302,05-05-2024,12212,996.07
168,17-10-2024,1701,363.61
1418,16-03-2024,11402,298.66
4287,21-12-2023,9780,402.1
374,05-07-2024,1465,258.54
5866,27-07-2024,13764,610.75
8096,03-03-2024,13704,292.3
6564,19-04-2024,10280,562.7
9695,24-09-2024,3504,419.55
2086,26-09-2024,14893,779.18
9078,19-12-2023,13974,406.3
793,14-02-2024,10848,74.79
4106,25-04-2024,3480,281.02
8319,27-09-2024,11778,997.92
4978,15-05-2024,13767,451.07
5977,22-06-2024,3168,434.33
7956,26-07-2024,8301,83.19
591,06-07-2024,9783,685.72
6838,15-04-2024,6077,29.6
4780,18-08-2024,3667,921.81
