carrier,delivery_date,order_id,shipment_date,shipment_id,shipment_status,tracking_number
UPS,14-10-2024,1,13-10-2024,1,Pending,TRK344284
DHL,28-08-2024,2,27-08-2024,2,Delivered,TRK718398
FedEx,31-05-2024,3,23-05-2024,3,Pending,TRK161368
UPS,10-06-2024,4,06-06-2024,4,Pending,TRK890181
DHL,08-11-2024,5,03-11-2024,5,Delivered,TRK681341
FedEx,07-05-2024,6,03-05-2024,6,Pending,TRK076623
UPS,30-12-2023,7,28-12-2023,7,Delivered,TRK767199
DHL,16-11-2023,8,14-11-2023,8,Delivered,TRK930895
FedEx,01-11-2024,9,25-10-2024,9,Delivered,TRK502345
UPS,14-06-2024,10,09-06-2024,10,Shipped,TRK169754
DHL,11-09-2024,11,06-09-2024,11,Shipped,TRK855233
FedEx,13-04-2024,12,11-04-2024,12,Pending,TRK974542
UPS,12-08-2024,13,08-08-2024,13,Delivered,TRK591371
DHL,26-10-2024,14,23-10-2024,14,Delivered,TRK379731
FedEx,29-06-2024,15,21-06-2024,15,Delivered,TRK043919
UPS,10-05-2024,16,04-05-2024,16,Delivered,TRK936117
DHL,13-08-2024,17,11-08-2024,17,Pending,TRK566646
FedEx,01-07-2024,18,24-06-2024,18,Delivered,TRK650383
UPS,09-09-2024,19,04-09-2024,19,Shipped,TRK551506
DHL,12-01-2024,20,05-01-2024,20,Delivered,TRK460663
FedEx,22-10-2024,21,18-10-2024,21,Delivered,TRK948321
UPS,13-12-2023,22,09-12-2023,22,Delivered,TRK749106
DHL,20-12-2023,23,16-12-2023,23,Shipped,TRK292444
FedEx,10-07-2024,24,07-07-2024,24,Pending,TRK461401
UPS,12-06-2024,25,06-06-2024,25,Pending,TRK282598
DHL,14-07-2024,26,08-07-2024,26,Delivered,TRK357860
FedEx,17-07-2024,27,12-07-2024,27,Cancelled,TRK817455
UPS,16-12-2023,28,15-12-2023,28,Pending,TRK426322
DHL,08-05-2024,29,02-05-2024,29,Pending,TRK001293
FedEx,06-08-2024,30,01-08-2024,30,Shipped,TRK667394
UPS,22-03-2024,31,19-03-2024,31,Pending,TRK062304
DHL,13-08-2024,32,08-08-2024,32,Pending,TRK192963
FedEx,27-08-2024,33,24-08-2024,33,Shipped,TRK801770
UPS,16-02-2024,34,10-02-2024,34,Shipped,TRK056656
DHL,08-04-2024,35,04-04-2024,35,Delivered,TRK286552
FedEx,27-03-2024,36,26-03-2024,36,Shipped,TRK929875
UPS,06-01-2024,37,02-01-2024,37,Shipped,TRK486006
DHL,08-05-2024,38,03-05-2024,38,Delivered,TRK591965
FedEx,03-07-2024,39,28-06-2024,39,Delivered,TRK126053
UPS,27-08-2024,40,23-08-2024,40,Pending,TRK186660
DHL,29-02-2024,41,25-02-2024,41,Delivered,TRK228097
FedEx,26-09-2024,42,18-09-2024,42,Delivered,TRK675562
UPS,16-10-2024,43,13-10-2024,43,Delivered,TRK922507
DHL,11-07-2024,44,08-07-2024,44,Shipped,TRK534190
FedEx,04-03-2024,45,02-03-2024,45,Shipped,TRK119030
UPS,25-08-2024,46,21-08-2024,46,Shipped,TRK392828
DHL,31-12-2023,47,30-12-2023,47,Pending,TRK235278
FedEx,28-11-2023,48,22-11-2023,48,Shipped,TRK170290
UPS,01-04-2024,49,28-03-2024,49,Delivered,TRK772122
DHL,24-07-2024,50,22-07-2024,50,Delivered,TRK159547
FedEx,20-05-2024,51,18-05-2024,51,Pending,TRK253961
UPS,10-06-2024,52,02-06-2024,52,Pending,TRK802059
DHL,08-08-2024,53,04-08-2024,53,Delivered,TRK721030
FedEx,06-02-2024,54,30-01-2024,54,Pending,TRK310750
UPS,22-08-2024,55,20-08-2024,55,Shipped,TRK423161
DHL,11-03-2024,56,04-03-2024,56,Shipped,TRK380369
FedEx,31-05-2024,57,28-05-2024,57,Shipped,TRK329835
UPS,29-06-2024,58,28-06-2024,58,Pending,TRK418211
DHL,11-08-2024,59,05-08-2024,59,Shipped,TRK865810
FedEx,07-01-2024,60,02-01-2024,60,Pending,TRK873334
UPS,15-08-2024,61,11-08-2024,61,Delivered,TRK837901
DHL,15-08-2024,62,08-08-2024,62,Pending,TRK976835
FedEx,08-05-2024,63,03-05-2024,63,Delivered,TRK912221
UPS,18-04-2024,64,12-04-2024,64,Shipped,TRK401740
DHL,10-08-2024,65,05-08-2024,65,Delivered,TRK478481
FedEx,28-04-2024,66,24-04-2024,66,Shipped,TRK398754
UPS,16-07-2024,67,11-07-2024,67,Pending,TRK696076
DHL,20-09-2024,68,18-09-2024,68,Cancelled,TRK155411
FedEx,31-01-2024,69,26-01-2024,69,Delivered,TRK637648
UPS,02-10-2024,70,25-09-2024,70,Delivered,TRK260510
DHL,25-08-2024,71,22-08-2024,71,Pending,TRK099538
FedEx,10-01-2024,72,07-01-2024,72,Cancelled,TRK998893
UPS,07-09-2024,73,02-09-2024,73,Pending,TRK967359
DHL,01-07-2024,74,26-06-2024,74,Delivered,TRK785450
FedEx,26-03-2024,75,19-03-2024,75,Shipped,TRK090974
UPS,26-03-2024,76,22-03-2024,76,Delivered,TRK860615
DHL,15-04-2024,77,13-04-2024,77,Pending,TRK203526
FedEx,01-02-2024,78,27-01-2024,78,Shipped,TRK842985
UPS,14-02-2024,79,09-02-2024,79,Pending,TRK187667
DHL,12-01-2024,80,06-01-2024,80,Pending,TRK167879
FedEx,08-02-2024,81,01-02-2024,81,Shipped,TRK396306
UPS,24-02-2024,82,20-02-2024,82,Shipped,TRK767139
DHL,25-02-2024,83,21-02-2024,83,Delivered,TRK751317
FedEx,19-10-2024,84,14-10-2024,84,Shipped,TRK880506
UPS,17-08-2024,85,11-08-2024,85,Cancelled,TRK545163
DHL,26-07-2024,86,23-07-2024,86,Pending,TRK685600
FedEx,27-02-2024,87,23-02-2024,87,Shipped,TRK416424
UPS,05-08-2024,88,02-08-2024,88,Pending,TRK329722
DHL,21-02-2024,89,17-02-2024,89,Shipped,TRK229007
FedEx,03-08-2024,90,26-07-2024,90,Delivered,TRK027765
UPS,30-01-2024,91,24-01-2024,91,Pending,TRK146036
DHL,24-12-2023,92,21-12-2023,92,Delivered,TRK177076
FedEx,11-09-2024,93,05-09-2024,93,Delivered,TRK901536
UPS,10-05-2024,94,07-05-2024,94,Delivered,TRK858729
DHL,26-08-2024,95,23-08-2024,95,Delivered,TRK309324
FedEx,19-07-2024,96,13-07-2024,96,Pending,TRK727094
UPS,18-06-2024,97,10-06-2024,97,Delivered,TRK516527
DHL,25-09-2024,98,19-09-2024,98,Delivered,TRK299125
FedEx,18-07-2024,99,14-07-2024,99,Pending,TRK803806
UPS,16-01-2024,100,13-01-2024,100,Pending,TRK972906
DHL,06-11-2024,101,05-11-2024,101,Delivered,TRK790609
FedEx,06-05-2024,102,29-04-2024,102,Shipped,TRK353034
UPS,21-08-2024,103,17-08-2024,103,Delivered,TRK754763
DHL,04-02-2024,104,31-01-2024,104,Shipped,TRK519260
FedEx,30-03-2024,105,24-03-2024,105,Pending,TRK500835
UPS,18-12-2023,106,16-12-2023,106,Pending,TRK482352
DHL,11-09-2024,107,09-09-2024,107,Delivered,TRK236734
FedEx,29-04-2024,108,23-04-2024,108,Shipped,TRK614517
UPS,08-10-2024,109,06-10-2024,109,Shipped,TRK836983
DHL,02-04-2024,110,28-03-2024,110,Cancelled,TRK307787
FedEx,07-09-2024,111,01-09-2024,111,Delivered,TRK422896
UPS,02-07-2024,112,29-06-2024,112,Shipped,TRK625442
DHL,18-11-2023,113,11-11-2023,113,Shipped,TRK913858
FedEx,30-01-2024,114,26-01-2024,114,Pending,TRK417904
UPS,31-10-2024,115,28-10-2024,115,Delivered,TRK047564
DHL,18-01-2024,116,17-01-2024,116,Shipped,TRK421959
FedEx,08-06-2024,117,01-06-2024,117,Cancelled,TRK479789
UPS,07-09-2024,118,02-09-2024,118,Delivered,TRK974354
DHL,24-06-2024,119,23-06-2024,119,Shipped,TRK699602
FedEx,12-04-2024,120,09-04-2024,120,Shipped,TRK761638
UPS,15-11-2023,121,12-11-2023,121,Delivered,TRK288041
DHL,01-09-2024,122,25-08-2024,122,Shipped,TRK660386
FedEx,22-02-2024,123,20-02-2024,123,Pending,TRK284905
UPS,23-09-2024,124,22-09-2024,124,Delivered,TRK876902
DHL,16-03-2024,125,13-03-2024,125,Shipped,TRK116437
FedEx,14-09-2024,126,11-09-2024,126,Shipped,TRK757174
UPS,10-09-2024,127,04-09-2024,127,Cancelled,TRK943174
DHL,22-06-2024,128,16-06-2024,128,Shipped,TRK233559
FedEx,06-05-2024,129,04-05-2024,129,Delivered,TRK477484
UPS,25-04-2024,130,18-04-2024,130,Delivered,TRK077977
DHL,22-05-2024,131,17-05-2024,131,Shipped,TRK850976
FedEx,06-10-2024,132,29-09-2024,132,Pending,TRK785266
UPS,14-10-2024,133,13-10-2024,133,Delivered,TRK802058
DHL,27-01-2024,134,20-01-2024,134,Shipped,TRK815000
FedEx,26-09-2024,135,25-09-2024,135,Cancelled,TRK520023
UPS,25-10-2024,136,21-10-2024,136,Pending,TRK920637
DHL,21-10-2024,137,17-10-2024,137,Shipped,TRK604502
FedEx,03-01-2024,138,02-01-2024,138,Shipped,TRK853084
UPS,02-12-2023,139,28-11-2023,139,Shipped,TRK517085
DHL,30-05-2024,140,22-05-2024,140,Pending,TRK021790
FedEx,14-10-2024,141,09-10-2024,141,Pending,TRK469479
UPS,22-09-2024,142,18-09-2024,142,Delivered,TRK244578
DHL,17-12-2023,143,13-12-2023,143,Shipped,TRK526994
FedEx,02-09-2024,144,28-08-2024,144,Pending,TRK449442
UPS,22-04-2024,145,19-04-2024,145,Shipped,TRK263485
DHL,20-03-2024,146,14-03-2024,146,Shipped,TRK400459
FedEx,15-12-2023,147,11-12-2023,147,Delivered,TRK451050
UPS,14-08-2024,148,07-08-2024,148,Delivered,TRK065105
DHL,12-07-2024,149,09-07-2024,149,Delivered,TRK290506
FedEx,18-09-2024,150,12-09-2024,150,Shipped,TRK146253
UPS,15-10-2024,151,07-10-2024,151,Shipped,TRK980624
DHL,03-09-2024,152,28-08-2024,152,Pending,TRK613129
FedEx,27-04-2024,153,20-04-2024,153,Shipped,TRK062053
UPS,15-07-2024,154,11-07-2024,154,Delivered,TRK470561
DHL,08-01-2024,155,01-01-2024,155,Delivered,TRK346265
FedEx,10-04-2024,156,08-04-2024,156,Delivered,TRK584422
UPS,06-08-2024,157,30-07-2024,157,Pending,TRK967864
DHL,29-06-2024,158,21-06-2024,158,Shipped,TRK816873
FedEx,20-01-2024,159,13-01-2024,159,Shipped,TRK548336
UPS,19-07-2024,160,12-07-2024,160,Shipped,TRK551540
DHL,19-12-2023,161,14-12-2023,161,Shipped,TRK195520
FedEx,28-07-2024,162,27-07-2024,162,Delivered,TRK200784
UPS,23-08-2024,163,19-08-2024,163,Pending,TRK989466
DHL,27-03-2024,164,25-03-2024,164,Shipped,TRK581776
FedEx,21-12-2023,165,18-12-2023,165,Shipped,TRK408465
UPS,20-01-2024,166,12-01-2024,166,Delivered,TRK151953
DHL,24-01-2024,167,17-01-2024,167,Delivered,TRK776340
FedEx,27-06-2024,168,21-06-2024,168,Shipped,TRK461789
UPS,11-07-2024,169,05-07-2024,169,Delivered,TRK637398
DHL,23-12-2023,170,17-12-2023,170,Shipped,TRK519780
FedEx,30-09-2024,171,26-09-2024,171,Pending,TRK925215
UPS,04-07-2024,172,01-07-2024,172,Cancelled,TRK657620
DHL,29-12-2023,173,27-12-2023,173,Delivered,TRK920980
FedEx,13-05-2024,174,10-05-2024,174,Pending,TRK468701
UPS,18-08-2024,175,11-08-2024,175,Shipped,TRK071714
DHL,29-02-2024,176,23-02-2024,176,Pending,TRK309321
FedEx,29-03-2024,177,22-03-2024,177,Shipped,TRK341124
UPS,30-12-2023,178,24-12-2023,178,Delivered,TRK252081
DHL,16-06-2024,179,12-06-2024,179,Delivered,TRK031087
FedEx,27-01-2024,180,21-01-2024,180,Shipped,TRK927295
UPS,25-03-2024,181,22-03-2024,181,Delivered,TRK833516
DHL,12-08-2024,182,10-08-2024,182,Delivered,TRK998814
FedEx,16-06-2024,183,14-06-2024,183,Delivered,TRK907389
UPS,07-08-2024,184,04-08-2024,184,Delivered,TRK307131
DHL,27-07-2024,185,21-07-2024,185,Pending,TRK700340
FedEx,21-08-2024,186,19-08-2024,186,Shipped,TRK757292
UPS,05-06-2024,187,04-06-2024,187,Shipped,TRK567514
DHL,20-01-2024,188,17-01-2024,188,Delivered,TRK427186
FedEx,07-07-2024,189,06-07-2024,189,Shipped,TRK790103
UPS,03-03-2024,190,27-02-2024,190,Pending,TRK138842
DHL,24-01-2024,191,21-01-2024,191,Delivered,TRK968004
FedEx,21-04-2024,192,16-04-2024,192,Delivered,TRK651030
UPS,08-11-2024,193,04-11-2024,193,Pending,TRK484558
DHL,23-09-2024,194,20-09-2024,194,Delivered,TRK714160
FedEx,21-03-2024,195,19-03-2024,195,Shipped,TRK802407
UPS,25-02-2024,196,22-02-2024,196,Shipped,TRK634481
DHL,11-09-2024,197,09-09-2024,197,Shipped,TRK771027
FedEx,04-07-2024,198,29-06-2024,198,Delivered,TRK762752
UPS,30-06-2024,199,25-06-2024,199,Delivered,TRK622781
DHL,05-02-2024,200,31-01-2024,200,Shipped,TRK479911
FedEx,07-04-2024,201,31-03-2024,201,Delivered,TRK120287
UPS,25-10-2024,202,21-10-2024,202,Shipped,TRK497929
DHL,28-11-2023,203,24-11-2023,203,Shipped,TRK599542
FedEx,28-03-2024,204,23-03-2024,204,Pending,TRK658725
UPS,17-05-2024,205,12-05-2024,205,Pending,TRK757003
DHL,09-05-2024,206,07-05-2024,206,Shipped,TRK159339
FedEx,26-08-2024,207,22-08-2024,207,Shipped,TRK116808
UPS,02-01-2024,208,29-12-2023,208,Shipped,TRK741357
DHL,06-04-2024,209,03-04-2024,209,Shipped,TRK149755
FedEx,01-09-2024,210,31-08-2024,210,Delivered,TRK722927
UPS,22-03-2024,211,20-03-2024,211,Shipped,TRK613072
DHL,19-08-2024,212,14-08-2024,212,Shipped,TRK635995
FedEx,18-12-2023,213,11-12-2023,213,Delivered,TRK618381
UPS,02-10-2024,214,25-09-2024,214,Pending,TRK794179
DHL,10-08-2024,215,07-08-2024,215,Shipped,TRK170352
FedEx,02-11-2024,216,30-10-2024,216,Shipped,TRK546533
